stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
1,,Dispanseria,"Kryqëzimi i  Rrugës ?Ferit Xhajko? me  Rrugën ""Siri Kodra"".",41.3376659131258,19.8212076681141,,,0,,,0,,
2,,Tregu 5 Maji,"Pas kryqëzimit të Rrugës ""Ferrit Xhajko"" me rrugën ""5 Maji""",41.3400360797,19.8254209172,,,0,,,0,,
3,,Materniteti,"Blv. ?Zogu I?, pranë Martenitetit ?Mbretëresha Geraldinë",41.3347202884,19.8168135171,,,0,,,0,,
4,,15 Katëshi,"ne rrugen ""Urani Pano""",41.3305264769,19.8188543341,,,0,,,0,,
5,,Dollari,ne rrugen Ibrahim Rugova pas kryqezimit me rrugen e Kavajes,41.3277041992,19.8162384474,,,0,,,0,,
6,,Lulishte Çajupi,Përpara kryqëzimit të Blv. ?Bajram Curri? me Rrugën ?Gjin Bue Shpata?,41.3221438751,19.8109867374,,,0,,,0,,
7,,Stacioni i Trenit,"Pas kryqëzimit të Rrugës ""Reshit Petrela"", me Blv. ""Zogu I"" (Fillimi i Linjës)",41.335972491,19.8170358879,,,0,,,0,,
8,,Posta 8,"Rrugën ?Sulejman Delvina?, pas Sheshit ?Uillson?",41.3182000613,19.8129092962,,,0,,,0,,
9,,QSUT,"Në Rrugën e ?Dibrës?, mbas kryqëzimit të ?Unazës? me Rrugën e ?Dibrës?.",41.3402894536441,19.8297836074882,,,0,,,0,,
10,,Mjekësia,"Në Rrugën e ?Dibrës?, përpara ?Fakultetit të Mjekësisë?",41.3423790104812,19.8339651446775,,,0,,,0,,
11,,Mjekësia,"Në Rrugën e ?Dibrës?, përpara ""Fakultetit të Mjekësisë""",41.3418295696995,19.832458958999,,,0,,,0,,
12,,Mentor Xhemali,"është në fillim të rrugës ""Rexhep Pinari""",41.3140304991572,19.798404505948,,,0,,,0,,
13,,Selitë,"është në afërsi të kryqëzimit të rrugës ""Isuf Elezi"" me rrugën ""Qemal Butka""",41.3154346124,19.7974811641,,,0,,,0,,
14,,Rrapo Hekali,është në afërsi të kryqëzimit të rrugës ?Rapo Hekali? me Unazën e Madhe,41.3134055438073,19.8010051921374,,,0,,,0,,
15,,Qendra Kristal,"është në rrugën ?Prokop Mima?, në afërsi me mbikalimin e Unazës së Madhe.",41.3138234902,19.8015263129,,,0,,,0,,
16,,Prokop Mima,"është pas kryqëzimit të rrugës ""Prokop Mima"" me Rrugën ""Medar Shtylla""",41.3139472158011,19.805695124408,,,0,,,0,,
17,,Dhimitër Shuteriqi,"është pas kryqëzimit të rrugës ""Dhimitër Shuteriqi"" me rrugën ""Tish Daija""",41.3144670350827,19.8042462297756,,,0,,,0,,
18,,Tish Daija,"është në fillim të rrugës ""Tish Daija""",41.3163699797,19.8058282961,,,0,,,0,,
19,,Lulishtja,është në kryqëzimin e Rrugës ?Medar Shtylla? me Rrugën ?Skënder Luarasi?,41.3166344153,19.8068241997,,,0,,,0,,
20,,Stadiumi Dinamo,Pas kryqëzimit të Rrugës ?Sulejman Delvina? me Rrugën ?Komuna e Parisit?.,41.3192841529,19.8083760144,,,0,,,0,,
